Day,January,February,March,April,May,June,July,August,September,October,November,December
18,"(06:18, 17:36)","(06:10, 17:51)","(05:52, 17:57)","(05:30, 18:02)","(05:16, 18:10)","(05:15, 18:20)","(05:24, 18:22)","(05:32, 18:09)","(05:35, 17:46)","(05:39, 17:24)","(05:51, 17:12)","(06:08, 17:18)"
19,"(06:18, 17:37)","(06:10, 17:51)","(05:51, 17:57)","(05:29, 18:03)","(05:16, 18:11)","(05:15, 18:21)","(05:24, 18:22)","(05:32, 18:09)","(05:35, 17:46)","(05:40, 17:23)","(05:52, 17:12)","(06:08, 17:19)"
20,"(06:18, 17:37)","(06:09, 17:51)","(05:51, 17:58)","(05:28, 18:03)","(05:15, 18:11)","(05:16, 18:21)","(05:24, 18:22)","(05:32, 18:08)","(05:35, 17:45)","(05:40, 17:23)","(05:52, 17:12)","(06:09, 17:19)"
21,"(06:18, 17:38)","(06:09, 17:52)","(05:50, 17:58)","(05:28, 18:03)","(05:15, 18:11)","(05:16, 18:21)","(05:25, 18:21)","(05:32, 18:07)","(05:35, 17:44)","(05:40, 17:22)","(05:53, 17:12)","(06:09, 17:20)"
22,"(06:18, 17:38)","(06:08, 17:52)","(05:49, 17:58)","(05:27, 18:03)","(05:15, 18:12)","(05:16, 18:21)","(05:25, 18:21)","(05:32, 18:07)","(05:36, 17:43)","(05:40, 17:22)","(05:53, 17:12)","(06:10, 17:20)"
23,"(06:18, 17:39)","(06:08, 17:52)","(05:48, 17:58)","(05:27, 18:03)","(05:15, 18:12)","(05:16, 18:21)","(05:25, 18:21)","(05:32, 18:06)","(05:36, 17:42)","(05:41, 17:21)","(05:54, 17:12)","(06:10, 17:21)"
24,"(06:18, 17:40)","(06:07, 17:53)","(05:48, 17:58)","(05:26, 18:04)","(05:15, 18:12)","(05:17, 18:22)","(05:26, 18:21)","(05:33, 18:05)","(05:36, 17:42)","(05:41, 17:21)","(05:54, 17:12)","(06:11, 17:21)"
25,"(06:18, 17:40)","(06:07, 17:53)","(05:47, 17:58)","(05:25, 18:04)","(05:14, 18:13)","(05:17, 18:22)","(05:26, 18:20)","(05:33, 18:05)","(05:36, 17:41)","(05:41, 17:20)","(05:55, 17:12)","(06:11, 17:22)"
26,"(06:18, 17:41)","(06:06, 17:53)","(05:46, 17:58)","(05:25, 18:04)","(05:14, 18:13)","(05:17, 18:22)","(05:26, 18:20)","(05:33, 18:04)","(05:36, 17:40)","(05:42, 17:20)","(05:55, 17:12)","(06:12, 17:22)"
27,"(06:18, 17:41)","(06:05, 17:53)","(05:45, 17:59)","(05:24, 18:04)","(05:14, 18:13)","(05:17, 18:22)","(05:26, 18:20)","(05:33, 18:03)","(05:36, 17:39)","(05:42, 17:19)","(05:56, 17:12)","(06:12, 17:23)"
28,"(06:17, 17:42)","(06:05, 17:54)","(05:45, 17:59)","(05:24, 18:05)","(05:14, 18:14)","(05:18, 18:22)","(05:27, 18:20)","(05:33, 18:03)","(05:36, 17:38)","(05:42, 17:19)","(05:57, 17:13)","(06:13, 17:24)"
29,"(06:17, 17:42)",None,"(05:44, 17:59)","(05:23, 18:05)","(05:14, 18:14)","(05:18, 18:22)","(05:27, 18:19)","(05:33, 18:02)","(05:36, 17:38)","(05:43, 17:18)","(05:57, 17:13)","(06:13, 17:24)"
30,"(06:17, 17:43)",None,"(05:43, 17:59)","(05:23, 18:05)","(05:14, 18:14)","(05:18, 18:22)","(05:27, 18:19)","(05:33, 18:01)","(05:36, 17:37)","(05:43, 17:18)","(05:58, 17:13)","(06:13, 17:25)"
31,"(06:17, 17:43)",None,"(05:42, 17:59)",None,"(05:14, 18:15)",None,"(05:28, 18:18)","(05:33, 18:00)",None,"(05:43, 17:17)",None,"(06:14, 17:25)"
